Users_Email,Users_Password,Student_Code,Student_FirstName,Student_LastName,Student_Birthdate,Student_Religion,Student_MedicalProblem,Faculty_Name,Department_Name,Teacher_Code,Student_AcademicYear
surechs.phu@rmutto.ac.th,Cs12345678,979650324165-7,สุรเชษฐ์,ภูมิพล,19-02-2548,พุทธ,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การจัดการ,404349442443-2,2567
suriyratn.phr@rmutto.ac.th,Cs12345678,560614849493-6,สุรีย์รัตน์,พรเทพ,1/10/2544,คริสต์,ปัญหาการมองเห็น,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การจัดการ,720431526768-4,2565
thnakr.sit@rmutto.ac.th,Cs12345678,280180727274-8,ธนากร,สิทธิชัย,28-09-2549,คริสต์,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การจัดการ,720431526768-4,2567
piyachay.sir@rmutto.ac.th,Cs12345678,570658697546-0,ปิยะชัย,สิริวัฒน์,10/1/2548,ไม่ระบุ,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การจัดการ,404349442443-2,2565
oayphachr.wrc@rmutto.ac.th,Cs12345678,160647744019-5,อัญพัชร,วรชาติ,21-04-2548,ไม่ระบุ,ภูมิแพ้,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การจัดการ,582426227270-1,2566
phakhphumi.wrw@rmutto.ac.th,Cs12345678,734638359048-6,ภาคภูมิ,วรวิทย์,17-11-2546,ไม่ระบุ,โรคหอบหืด,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การจัดการ,804940151771-8,2566
ophichnanth.swa@rmutto.ac.th,Cs12345678,477882692253-0,อภิชนันท์,สวัสดิ์สุข,3/6/2546,ไม่ระบุ,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การจัดการ,720431526768-4,2566
prems.phn@rmutto.ac.th,Cs12345678,326272233252-7,ปรเมศ,พงศกร,19-04-2545,คริสต์,ภูมิแพ้,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การจัดการ,582426227270-1,2566
phumiwan.kit@rmutto.ac.th,Cs12345678,844659262218-3,ภูมิวัฒน์,กิตติศักดิ์,23-04-2547,อิสลาม,โรคหอบหืด,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การจัดการ,582426227270-1,2567
ophiyya.pha@rmutto.ac.th,Cs12345678,693476344142-6,อภิญญา,ภานุพงษ์,10/1/2549,ไม่ระบุ,โรคหัวใจ,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การจัดการ,404349442443-2,2566
suphchay.pha@rmutto.ac.th,Cs12345678,704320395399-0,ศุภชัย,ภานุพงษ์,22-09-2549,อิสลาม,ความดันโลหิตสูง,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การจัดการ,804940151771-8,2565
