Users_Email,Users_Password,Teacher_Code,Teacher_FirstName,Teacher_LastName,Teacher_Birthdate,Teacher_Religion,Teacher_MedicalProblem,Faculty_Name,Department_Name,Teacher_IsDean
pathom.tha@rmutto.ac.th,Cs12345678,582426227270-1,ปฐม,ทำประดู่,4/7/1980,พุทธ,ความดันโลหิตสูง,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การจัดการ,FALSE
khomkrop.tra@rmutto.ac.th,Cs12345678,720431526768-4,คมกริบ,ไตรบรรพ,12/2/1992,คริสต์,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การจัดการ,FALSE
sen.tha@rmutto.ac.th,Cs12345678,404349442443-2,เสรี,แท่นทอง,13/3/1991,คริสต์,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การจัดการ,FALSE
sahasamon.tho@rmutto.ac.th,Cs12345678,523221489653-2,สหัสมณี,ธูปหอม,1/3/1993,อิสลาม,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การจัดการ,FALSE
narawan.tho@rmutto.ac.th,Cs12345678,804940151771-8,นราวรรณ,ทองปากน้ำ,6/8/1981,คริสต์,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การจัดการ,FALSE
nawansannot.dat@rmutto.ac.th,Cs12345678,912852184298-9,นวรรษนันท์,ดาตู,12/6/1973,อิสลาม,เบาหวาน,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การจัดการ ,FALSE
yasathan.det@rmutto.ac.th,Cs12345678,155081845464-4,ยศวัฒน์,เดชคุ้ม,26/2/1991,อิสลาม,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การจัดการ ,FALSE
thopthom.cho@rmutto.ac.th,Cs12345678,303480157224-4,ทับทิม,ฉิมพาลี,23/5/1990,คริสต์,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การจัดการ ,FALSE
soraya.nay@rmutto.ac.th,Cs12345678,287917758551-0,ศิริญา,นิยมธรรม,25/7/1988,คริสต์,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การจัดการ ,FALSE
thorokson.nak@rmutto.ac.th,Cs12345678,449433545256-5,ธีรลักษณ์,นครเทพ,8/7/1971,คริสต์,เบาหวาน,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การจัดการ ,FALSE
chontotcha.tha@rmutto.ac.th,Cs12345678,635833065906-1,จินต์จุฑา,ธัญาโภชน์,21/5/1977,คริสต์,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การตลาด,FALSE
thanomchoi.att@rmutto.ac.th,Cs12345678,636634313387-1,ถนอมชัย,อัตตนาถ,8/7/1988,คริสต์,เบาหวาน,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การตลาด,FALSE
nachon.nat@rmutto.ac.th,Cs12345678,193129348485-4,นุจรี,นาฏคายี,10/1/1980,คริสต์,ความดันโลหิตสูง,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การตลาด,FALSE
