"Users_Email","Users_Password","Student_Code","Student_FirstName","Student_LastName","Student_Phone","Student_Birthdate","Student_Religion","Student_MedicalProblem","Faculty_Name","Department_Name","Teacher_Code","Student_AcademicYear"
"surechs.phu@rmutto.ac.th","Cs12345678","979650324165-7","สุรเชษฐ์","ภูมิพล","0902875475","19-02-2548","พุทธ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","404349442443-2","2567"
"suriyratn.phr@rmutto.ac.th","Cs12345678","560614849493-6","สุรีย์รัตน์","พรเทพ","0972448423","1/10/2544","คริสต์","ปัญหาการมองเห็น","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","720431526768-4","2565"
"thnakr.sit@rmutto.ac.th","Cs12345678","280180727274-8","ธนากร","สิทธิชัย","0654694468","28-09-2549","คริสต์","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","720431526768-4","2567"
"piyachay.sir@rmutto.ac.th","Cs12345678","570658697546-0","ปิยะชัย","สิริวัฒน์","0946341298","10/1/2548","ไม่ระบุ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","404349442443-2","2565"
"oayphachr.wrc@rmutto.ac.th","Cs12345678","160647744019-5","อัญพัชร","วรชาติ","0837048527","21-04-2548","ไม่ระบุ","ภูมิแพ้","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","582426227270-1","2566"
"phakhphumi.wrw@rmutto.ac.th","Cs12345678","734638359048-6","ภาคภูมิ","วรวิทย์","0683892573","17-11-2546","ไม่ระบุ","โรคหอบหืด","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","804940151771-8","2566"
"ophichnanth.swa@rmutto.ac.th","Cs12345678","477882692253-0","อภิชนันท์","สวัสดิ์สุข","0851213934","3/6/2546","ไม่ระบุ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","720431526768-4","2566"
"prems.phn@rmutto.ac.th","Cs12345678","326272233252-7","ปรเมศ","พงศกร","0611332103","19-04-2545","คริสต์","ภูมิแพ้","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","582426227270-1","2566"
"phumiwan.kit@rmutto.ac.th","Cs12345678","844659262218-3","ภูมิวัฒน์","กิตติศักดิ์","0661761275","23-04-2547","อิสลาม","โรคหอบหืด","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","582426227270-1","2567"
"ophiyya.pha@rmutto.ac.th","Cs12345678","693476344142-6","อภิญญา","ภานุพงษ์","0631642953","10/1/2549","ไม่ระบุ","โรคหัวใจ","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","404349442443-2","2566"
"suphchay.pha@rmutto.ac.th","Cs12345678","704320395399-0","ศุภชัย","ภานุพงษ์","0874779607","22-09-2549","อิสลาม","ความดันโลหิตสูง","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","804940151771-8","2565"
"oaymi.ois@rmutto.ac.th","Cs12345678","514224148465-4","อัญมณี","อิศรา","0631789853","19-04-2543","คริสต์","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","720431526768-4","2567"
"wilasini.phu@rmutto.ac.th","Cs12345678","312935382283-9","วิลาสินี","ภูมิพงษ์","0972561969","25-09-2547","ไม่ระบุ","ภูมิแพ้","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","523221489653-2","2567"
"oariratn.jak@rmutto.ac.th","Cs12345678","767987238971-6","อารีรัตน์","จักรินทร์","0698571642","8/7/2545","พุทธ","โรคเบาหวาน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","804940151771-8","2565"
"jarui.cha@rmutto.ac.th","Cs12345678","154174950850-9","จารุณี","ฉัตรชัย","0623613550","19-12-2549","พุทธ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","582426227270-1","2567"
"suphichcha.phi@rmutto.ac.th","Cs12345678","893714518248-7","สุพิชชา","พีรพล","0674978594","24-02-2545","พุทธ","ปัญหาการได้ยิน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","804940151771-8","2565"
"priyya.dim@rmutto.ac.th","Cs12345678","563217971335-8","ปริญญา","ดีมาก","0976103067","11/8/2546","พุทธ","โรคหอบหืด","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","523221489653-2","2566"
"sunisa.thr@rmutto.ac.th","Cs12345678","542695325888-1","สุนิสา","ทรัพย์สิน","0988947610","11/12/2546","อิสลาม","โรคหอบหืด","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","804940151771-8","2566"
"wrphngs.phr@rmutto.ac.th","Cs12345678","991241690943-3","วรพงศ์","พรเทพ","0940997312","7/11/2545","ไม่ระบุ","ปัญหาการมองเห็น","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","720431526768-4","2566"
"ktys.oph@rmutto.ac.th","Cs12345678","675742981460-1","กฤตยศ","อภิวัฒน์","0696792084","15-03-2545","พุทธ","โรคหัวใจ","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","404349442443-2","2565"
"jirphathr.thn@rmutto.ac.th","Cs12345678","467492383312-4","จิรภัทร","ธนาธิป","0973600649","17-01-2548","พุทธ","โรคหอบหืด","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","804940151771-8","2565"
"oakhrphl.wre@rmutto.ac.th","Cs12345678","349138397595-8","อัครพล","วรเกียรติ","0997319293","4/1/2545","ไม่ระบุ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","523221489653-2","2566"
"thnwithy.thn@rmutto.ac.th","Cs12345678","544146356461-9","ธนวิทย์","ธนกุล","0969557511","2/2/2544","อิสลาม","โรคเบาหวาน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","404349442443-2","2565"
