"Users_Email","Users_Password","Student_Code","Student_FirstName","Student_LastName","Student_Phone","Student_Birthdate","Student_Religion","Student_MedicalProblem","Faculty_Name","Department_Name","Teacher_Code","Student_AcademicYear"
"siriratn.phi@rmutto.ac.th","Cs12345678","478614568588-7","ศิริรัตน์","พิพัฒน์","0689173087","16-07-2545","คริสต์","ไมเกรน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","วิทยาการคอมพิวเตอร์","269056064751-7","2565"
"suthida.sir@rmutto.ac.th","Cs12345678","924770217025-9","สุธิดา","ศิริพงษ์","0920027461","1/7/2545","อิสลาม","ปัญหาการมองเห็น","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","วิทยาการคอมพิวเตอร์","650841777744-9","2567"
"thnwan.oin@rmutto.ac.th","Cs12345678","413333527369-4","ธนวัฒน์","อินทร์แก้ว","0974701955","15-03-2547","คริสต์","โรคหอบหืด","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","วิทยาการคอมพิวเตอร์","625177706970-0","2565"
"siththichay.kit@rmutto.ac.th","Cs12345678","370937213871-2","สิทธิชัย","กิตติพงษ์","0888688866","1/9/2545","พุทธ","ปัญหาการมองเห็น","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","วิทยาการคอมพิวเตอร์","650841777744-9","2566"
"oisra.sup@rmutto.ac.th","Cs12345678","307845638686-7","อิศรา","ศุภชัย","0654928484","4/4/2546","ไม่ระบุ","โรคหอบหืด","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","วิทยาการคอมพิวเตอร์","650841777744-9","2567"
"phimphaij.phn@rmutto.ac.th","Cs12345678","749750453459-6","พิมพ์ใจ","พงศกร","0871117423","8/6/2547","คริสต์","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","วิทยาการคอมพิวเตอร์","671757924287-0","2567"
"ointhira.sra@rmutto.ac.th","Cs12345678","853772446028-2","อินทิรา","ศราวุธ","0652720763","21-01-2547","อิสลาม","ปัญหาการได้ยิน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","วิทยาการคอมพิวเตอร์","625177706970-0","2566"
"nphdl.sir@rmutto.ac.th","Cs12345678","379477344001-7","นพดล","ศิริพงษ์","0621934602","8/10/2548","พุทธ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","วิทยาการคอมพิวเตอร์","317336807383-5","2566"
"jindami.wre@rmutto.ac.th","Cs12345678","784148686886-4","จินดามณี","วรเกียรติ","0868478532","25-12-2543","ไม่ระบุ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","วิทยาการคอมพิวเตอร์","317336807383-5","2567"
"oakhrphl.rng@rmutto.ac.th","Cs12345678","741591564402-2","อัครพล","ณรงค์ศักดิ์","0849816516","4/8/2544","พุทธ","ภูมิแพ้","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","วิทยาการคอมพิวเตอร์","269056064751-7","2565"
