"Users_Email","Users_Password","Teacher_Code","Teacher_FirstName","Teacher_LastName","Teacher_Phone","Teacher_Birthdate","Teacher_Religion","Teacher_MedicalProblem","Faculty_Name","Department_Name","Teacher_IsDean"
"pathom.tha@rmutto.ac.th","Cs12345678","582426227270-1","ปฐม","ทำประดู่","0603459602","4/7/1980","พุทธ","ความดันโลหิตสูง","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","FALSE"
"khomkrop.tra@rmutto.ac.th","Cs12345678","720431526768-4","คมกริบ","ไตรบรรพ","0889623824","12/2/1992","คริสต์","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","FALSE"
"sen.tha@rmutto.ac.th","Cs12345678","404349442443-2","เสรี","แท่นทอง","0936340633","13-03-1991","คริสต์","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","FALSE"
"sahasamon.tho@rmutto.ac.th","Cs12345678","523221489653-2","สหัสมณี","ธูปหอม","0842344633","1/3/1993","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","FALSE"
"narawan.tho@rmutto.ac.th","Cs12345678","804940151771-8","นราวรรณ","ทองปากน้ำ","0798378476","6/8/1981","คริสต์","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","FALSE"
"nawansannot.dat@rmutto.ac.th","Cs12345678","912852184298-9","นวรรษนันท์","ดาตู","0902583354","12/6/1973","อิสลาม","เบาหวาน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ (2 ปี ต่อเนื่อง)","FALSE"
"yasathan.det@rmutto.ac.th","Cs12345678","155081845464-4","ยศวัฒน์","เดชคุ้ม","0693842765","26-02-1991","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ (2 ปี ต่อเนื่อง)","FALSE"
"thopthom.cho@rmutto.ac.th","Cs12345678","303480157224-4","ทับทิม","ฉิมพาลี","0670420765","23-05-1990","คริสต์","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ (2 ปี ต่อเนื่อง)","FALSE"
"soraya.nay@rmutto.ac.th","Cs12345678","287917758551-0","ศิริญา","นิยมธรรม","0897386845","25-07-1988","คริสต์","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ (2 ปี ต่อเนื่อง)","FALSE"
"thorokson.nak@rmutto.ac.th","Cs12345678","449433545256-5","ธีรลักษณ์","นครเทพ","0874575584","8/7/1971","คริสต์","เบาหวาน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ (2 ปี ต่อเนื่อง)","FALSE"
"chontotcha.tha@rmutto.ac.th","Cs12345678","635833065906-1","จินต์จุฑา","ธัญาโภชน์","0718327359","21-05-1977","คริสต์","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การตลาด","FALSE"
"thanomchoi.att@rmutto.ac.th","Cs12345678","636634313387-1","ถนอมชัย","อัตตนาถ","0655256201","8/7/1988","คริสต์","เบาหวาน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การตลาด","FALSE"
